553.49639,428.297834
556.88,428
559.89,427.98
562.91,427.96
565.88,427.94
569.07,427.95
572.55,427.97
575.65,427.98
578.78,428
581.34,428
583.75,427.97
586.23,427.98
588.73,427.97
590.99,426.17
592.53,426.03
594.09,425.96
595.98,425.9
598.61,424.09
599.92,423.78
601.49,421.79
600.87,417.04
595.54,406.99
580.09,387
562.22,375
543.13,360.99
522.18,346.99
501.88,328.98
483.34,326.97
467.12,321
449.87,308.97
432.27,304.98
420.91,301.01
411.33,296.99
404.92,295.01
402.37,291.03
405.58,283.97
418.17,275.97
436.88,277.93
454.21,287.98
471.29,302
484.07,315.99
499.93,328.99
506.29,333.99
515.71,344.04
524.22,346.06
531.86,348.03
538.67,352
544.93,353.99
550.37,356.02
554.98,356.02
558.46,358
562.39,357.98
566.11,357.99
569.6,357.98
572.82,357.97
577.01,356.05
580.84,356.03
583.76,355.97
586.79,354.08
588.93,353.98
591.54,352.08
593.25,351.81
594.85,349.9
596.82,348.06
598.08,347.88
599.8,346.21
600.94,345.85
602.15,344.36
603.46,343.95
605.56,342.26
606.94,341.66
608.35,339.22
607.64,337.03
604.55,327
600.02,319.9
582.01,302.99
569.79,293.02
557.96,283.01
553.49639,285.337545
540.43,276.99
526.38,271
511.71,262.99
492.88,254.99
472.86,249
456.25,240.98
443.18,237.01
433.6,233
424.94,229
418.88,224.99
414.76,221
409.99,217.03
433.929603,196.962094
451.92,196.98
470.72,204.99
488.17,219
501.16,234.99
511.69,244.99
522.02,250.98
529.36,259
537.07,260.99
542.77,264.99
549.05,266.99
555.02,268.98
559.47,270.97
563.94,270.98
567.98,270.99
571.62,271.01
574.94,271.01
577.33,270.99
579.88,270.95
582,270.86
584.11,270.68
589.06,268.99
590.96,268.91
593.05,268.92
594.67,268.89
596.06,268.84
598.06,268.79
601.75,268.92
604.71,268.96
607.08,269.01
614.49,267.95
615.53,267.81
607.74,268.02
601.12,254
583.48,236.01
564.15,217.99
541.68,207.99
520.64,205.99
499.5,191.98
477.13,178
455.23,174
442.46,167.98
430.93,168.01
424.4,165.99
420.32,164.24
431.23,156.94
444.04,154.97
462.94,158.95
484.08,170.99
501.51,191
512.93,209.01
523.6,221.01
533.22,227.01
540.78,233.01
547.38,236.99
552.29,240.99
557,244.99
561.35,246.97
565.17,248.97
568.64,250.95
571.77,252.95
575.41,252.99
578.31,254.95
580.61,256.94
584.3,257
586.09,258.92
586.38,260.02
588.66,260.25
591.26,260.79
593.95,260.92
602.7,259.86
604.41,259.95
598.82,262.88
600.82,263.04
600.76,264.19
601.74,265.1
602.67,265.81
604.01,265.81
605.19,266.18
606.52,266.4
616.05,264.14
615.91,264.93
617.06,264.18
611.09,261.98
604.95,253.99
591.19,237.98
580.09,223.99
567.33,213.99
554.62,209.99
543.19,203.99
530.8,200
517.33,196
503.39,192
489.44,188.02
471.92,179.99
457.99,174.01
445.56,167.99
432.91,164
422.34,161.99
415.9,161.98
412,159.96
407.9,155.99
422.23,144.99
438.44,144.97
458.13,150.97
476.47,162.98
489.68,176.99
500.29,190.99
509.33,200.99
517.14,208.99
523.51,217
529.96,222.99
536.28,229
542.15,235
548.09,238.99
553.28,242.99
558.3,244.99
561.65,246.98
564.62,248.97
566.94,250.95
569.22,252.93
572.71,253
574.87,254.93
577.75,255.02
579.94,256.96
582.09,258.81
585.55,258.98
586.17,260.23
589.74,260.88
592.16,261.04
593.14,262.66
594.74,262.84
596.29,263.06
598.09,263.19
599.11,264.67
600.35,264.63
602.28,264.95
603,265.31
603.95,265.26
604.5,265.39
604.14,265.68
605.13,257.97
597.8,248
587.03,236.01
575.15,223.99
565.4,211.99
555.17,203.99
541.79,195.99
527.67,189.99
510.58,186
493.29,180
473.91,174.01
456.43,165.99
443.77,164
432.89,162
425.01,159.99
419.58,157.97
417.37,155.92
427.64,144.99
438.33,144.96
449.94,148.02
476.81769,165.770758
493.85,182.01
507.12,195.99
518.22,208
526.96,215.99
534.77,221.99
542.04,225.98
548.47,229.99
553.38,234
557.5,236
562.25,238
566.1,239.99
569.74,241.99
573.72,243.98
577.28,245.95
581,245.99
584.44,247.97
587.22,249.99
589.9,252.01
592.42,254
595.57,254.04
597.25,254.17
598.7,255.95
600.87,256.01
602.27,257.96
604.11,258.02
605.81,258.08
606.97,259.96
608.61,260.04
610.1,260.12
610.79,261.85
611.86,261.84
613.15,260.23
614.25,260.16
615.39,260.18
616.33,260.21
615.67,259.05
613.53,252.09
603.42,241.97
588.07,227.03
574.2,217.02
563.21,209.03
549.13,201.03
536.15,194.98
524.48,190.99
512.82,187.01
499.71,183.02
484.53,179.03
463.82,171.01
445.67,165.01
432.12,161.02
419.81,159.01
414.86,157
413.23,155.04
417.12,149.97
427.78,147.78
443.96,149.03
462.95,159.02
488.61,184
501.2,198.01
511,208
519.93,216.01
526.59,222.01
533.06,226.01
539.66,230.01
545.71,231.99
550.64,236
555.1,238
558.73,242.03
562.85,244.02
566.93,246
570.26,247.95
573.37,248.01
576.64,249.97
580.15,250.01
583.32,251.96
586.69,252
588.81,253.99
591.06,253.99
592.48,256
594.37,256.01
596.56,256
598.07,258.03
600.03,258.07
601.17,259.98
602.89,260.02
604.63,260.07
606.04,260.2
607.06,260.2
607.48,262
608.39,261.93
609.33,261.93
609.85,261.09
607.81,255
595.77,240.96
581.65,231
571.48,221.02
558.55,211
544.35,203.02
529.13,197.03
515.93,191
503.24,184.99
491.39,179
479.19,175.01
463.71,171.02
449.88,167
436.19,163.01
425.92,159
418.17,158.99
415.03,157.02
416.35,152
427.02,141.95
446.65,139.96
466.87,151.98
484.34,163.99
498.07,178
509.47,190.02
518.54,198
527.22,206
534.66,213.99
541.64,222.01
547.91,225.99
553.76,232.01
558.77,236.03
563.39,238
567.77,241.98
572.1,243.96
576.06,245.96
579.57,248
582.8,250.01
586.33,249.98
588.94,252.01
591.73,252.03
593.35,254
595.57,254
597.1,256.01
598.82,256.06
600.1,257.99
601.92,258.04
603.67,258.12
604.67,259.93
605.84,259.36
606.25,258.16
607.29,257.96
608.48,257.95
609.76,257.97
610.97,257.99
611.96,258
612.82,256.89
612.84,255.09
608.8,253.03
604.02,243.96
592.49,233.96
575.45,218.97
565.99,212.99
554.7,207.01
542.47,203.01
530.78,199.02
516.92,193.01
504.58,187.01
488.03,183.01
472.41,177
455.51,173
440.26,166.97
427.12,163
419.55,161.01
414.05,159.01
413.08,157.52
418.91,149.92
429.9,147.89
447.77,147.02
456.023466,183.965704
485.915162,191.763538
500.43,206.01
510.73,218
520.22,223.99
527.18,229.97
533.96,233.97
540,239.99
545.79,246.03
550.69,248.03
554.97,250.02
559.07,252.01
563.04,254.01
566.61,254
569.92,256.03
573.25,256
576.24,258.02
578.72,257.99
581.13,260.01
582.88,260.02
584.24,260.01
586.17,262.01
588.01,262
590.31,264.01
592.58,264
594.59,266
596.02,265.99
597.09,265.95
598.15,265.98
599.62,267.93
600.09,266.11
600.82,266.09
601.53,266.21
603.95,267.2
600.9,263.03
594.36,255.1
